sawtooth,data,point
4920.0196875,4925,57
4925.139375,4935,58
4930.2590625,4937,59
4935.37875,4947,60
4940.4984375,4951,61
4945.618125,4951,62
4950.7378125,4963,63
4955.8575,4959,0
4960.9771875,4966,1
4966.096875,4972,2
4971.2165625,4972,3
4976.33625,4978,4
4981.4559375,4983,5
4986.575625,4988,6
4991.6953125,4993,7
4996.815,5002,8
5001.9346875,5007,9
5007.054375,5019,10
5012.1740625,5019,11
5017.29375,5028,12
5022.4134375,5031,13
5027.533125,5037,14
5032.6528125,5037,15
5037.7725,5043,16
5042.8921875,5044,17
5048.011875,5044,18
5053.1315625,5051,19
5058.25125,5054,20
5063.3709375,5064,21
5068.490625,5064,22
5073.6103125,5074,23
5078.73,5080,24
5083.8496875,5087,25
5088.969375,5094,26
5094.0890625,5102,27
5099.20875,5107,28
5104.3284375,5114,29
5109.448125,5117,30
5114.5678125,5122,31
5119.6875,5123,32
5124.8071875,5124,33
5129.926875,5131,34
5135.0465625,5134,35
5140.16625,5135,36
5145.2859375,5143,37
5150.405625,5147,38
5155.5253125,5156,39
5160.645,5161,40
5165.7646875,5171,41
5170.884375,5178,42
5176.0040625,5180,43
5181.12375,5187,44
5186.2434375,5192,45
5191.363125,5195,46
5196.4828125,5202,47
5201.6025,5199,48
5206.7221875,5204,49
5211.841875,5208,50
5216.9615625,5213,51
5222.08125,5213,52
5227.2009375,5223,53
5232.320625,5221,54
5237.4403125,5230,55
5242.56,5237,56
5247.6796875,5248,57
5252.799375,5252,58
5257.9190625,5259,59
5263.03875,5262,60
5268.1584375,5274,61
5273.278125,5273,62
5278.3978125,5280,63
5283.5175,5280,0
5288.6371875,5284,1
5293.756875,5291,2
5298.8765625,5293,3
5303.99625,5299,4
5309.1159375,5302,5
5314.235625,5306,6
5319.3553125,5313,7
5324.475,5322,8
5329.5946875,5326,9
5334.714375,5334,10
5339.8340625,5341,11
5344.95375,5348,12
5350.0734375,5355,13
5355.193125,5357,14
5360.3128125,5362,15
5365.4325,5361,16
5370.5521875,5363,17
5375.671875,5371,18
5380.7915625,5376,19
5385.91125,5378,20
5391.0309375,5386,21
5396.150625,5386,22
5401.2703125,5392,23
5406.39,5399,24
5411.5096875,5410,25
5416.629375,5417,26
5421.7490625,5419,27
5426.86875,5430,28
5431.9884375,5432,29
5437.108125,5441,30
5442.2278125,5446,31
5447.3475,5447,32
5452.4671875,5448,33
5457.586875,5454,34
5462.7065625,5458,35
5467.82625,5459,36
5472.9459375,5465,37
5478.065625,5471,38
5483.1853125,5477,39
5488.305,5483,40
5493.4246875,5491,41
5498.544375,5493,42
5503.6640625,5507,43
5508.78375,5511,44
5513.9034375,5512,45
5519.023125,5520,46
5524.1428125,5523,47
5529.2625,5524,48
5534.3821875,5526,49
5539.501875,5533,50
5544.6215625,5534,51
5549.74125,5539,52
5554.8609375,5542,53
5559.980625,5550,54
5565.1003125,5553,55
5570.22,5558,56
5575.3396875,5567,57
5580.459375,5575,58
5585.5790625,5584,59
5590.69875,5587,60
5595.8184375,5596,61
5600.938125,5600,62
5606.0578125,5605,63
5611.1775,5604,0
5616.2971875,5610,1
5621.416875,5614,2
5626.5365625,5616,3
5631.65625,5625,4
5636.7759375,5630,5
5641.895625,5634,6
5647.0153125,5638,7
5652.135,5643,8
5657.2546875,5655,9
5662.374375,5659,10
5667.4940625,5667,11
5672.61375,5669,12
5677.7334375,5674,13
5682.853125,5680,14
5687.9728125,5685,15
5693.0925,5686,16
5698.2121875,5690,17
5703.331875,5691,18
5708.4515625,5698,19
5713.57125,5700,20
5718.6909375,5707,21
5723.810625,5711,22
5728.9303125,5716,23
5734.05,5724,24
5739.1696875,5733,25
5744.289375,5740,26
5749.4090625,5747,27
5754.52875,5753,28
5759.6484375,5759,29
5764.768125,5762,30
5769.8878125,5769,31
5775.0075,5772,32
5780.1271875,5771,33
5785.246875,5776,34
5790.3665625,5780,35
5795.48625,5784,36
5800.6059375,5794,37
5805.725625,5798,38
5810.8453125,5800,39
5815.965,5814,40
5821.0846875,5814,41
5826.204375,5823,42
5831.3240625,5834,43
5836.44375,5835,44
5841.5634375,5844,45
5846.683125,5842,46
5851.8028125,5850,47
5856.9225,5851,48
5862.0421875,5855,49
5867.161875,5856,50
5872.2815625,5863,51
5877.40125,5862,52
5882.5209375,5870,53
5887.640625,5869,54
5892.7603125,5876,55
5897.88,5888,56
5902.9996875,5891,57
5908.119375,5900,58
5913.2390625,5908,59
5918.35875,5914,60
5923.4784375,5923,61
5928.598125,5924,62
5933.7178125,5928,63
5938.8375,5928,0
5943.9571875,5935,1
5949.076875,5938,2
5954.1965625,5941,3
5959.31625,5948,4
5964.4359375,5952,5
5969.555625,5956,6
5974.6753125,5963,7
5979.795,5969,8
5984.9146875,5969,9
5990.034375,5986,10
5995.1540625,5992,11
6000.27375,6000,12
6005.3934375,6000,13
6010.513125,6007,14
6015.6328125,6010,15
6020.7525,6015,16
6025.8721875,6014,17
6030.991875,6015,18
6036.1115625,6025,19
6041.23125,6027,20
6046.3509375,6031,21
6051.470625,6038,22
6056.5903125,6044,23
6061.71,6051,24
6066.8296875,6061,25
6071.949375,6067,26
6077.0690625,6076,27
6082.18875,6081,28
6087.3084375,6088,29
6092.428125,6090,30
6097.5478125,6095,31
6102.6675,6092,32
6107.7871875,6097,33
6112.906875,6102,34
6118.0265625,6108,35
6123.14625,6112,36
6128.2659375,6116,37
6133.385625,6122,38
6138.5053125,6128,39
6143.625,6138,40
6148.7446875,6140,41
6153.864375,6148,42
6158.9840625,6154,43
6164.10375,6161,44
6169.2234375,6165,45
6174.343125,6170,46
6179.4628125,6175,47
6184.5825,6177,48
6189.7021875,6180,49
6194.821875,6186,50
6199.9415625,6184,51
6205.06125,6193,52
6210.1809375,6194,53
6215.300625,6199,54
6220.4203125,6207,55
6225.54,6209,56
6230.6596875,6221,57
6235.779375,6228,58
6240.8990625,6233,59
6246.01875,6242,60
6251.1384375,6251,61
6256.258125,6252,62
6261.3778125,6259,63
6266.4975,6258,0
6271.6171875,6261,1
6276.736875,6265,2
6281.8565625,6269,3
6286.97625,6276,4
6292.0959375,6280,5
6297.215625,6284,6
6302.3353125,6291,7
6307.455,6296,8
6312.5746875,6306,9
6317.694375,6310,10
6322.8140625,6318,11
6327.93375,6321,12
6333.0534375,6327,13
6338.173125,6332,14
6343.2928125,6338,15
6348.4125,6339,16
6353.5321875,6337,17
6358.651875,6348,18
6363.7715625,6353,19
6368.89125,6354,20
6374.0109375,6362,21
6379.130625,6366,22
6384.2503125,6368,23
6389.37,6377,24
6394.4896875,6388,25
6399.609375,6397,26
6404.7290625,6400,27
6409.84875,6407,28
6414.9684375,6413,29
